wavelength,Trans_xx,Trans_xy,Trans_yx,Trans_yy,Trans_RL,Trans_RR,Trans_LR,Trans_LL,Refl_xx,Refl_xy,Refl_yx,Refl_yy,Refl_RL,Refl_RR,Refl_LR,Refl_LL
400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410.0,0.5985176,6.865466e-11,3.3538138e-11,0.59852666,1.0050855e-10,0.5985241,1.7463865e-11,0.5985202,0.04706799,3.922402e-12,3.4805045e-12,0.047066573,0.047067367,1.0498172e-12,0.047067184,0.20903791
420.0,0.5764492,2.9483205e-10,3.1357622e-10,0.5764503,3.151074e-10,0.5764492,2.9215086e-10,0.5764504,0.04142868,5.341264e-11,7.3335e-11,0.04142933,0.04142824,6.6809516e-11,0.041429788,0.21068826
430.0,0.5642359,4.3379808e-10,3.3857633e-10,0.5642358,3.8352965e-10,0.5642376,3.821754e-10,0.56423414,0.031291142,1.00579454e-10,5.2233932e-11,0.03129067,0.03129139,5.943701e-11,0.031290427,0.20526376
440.0,0.55591756,2.4687116e-10,3.793363e-10,0.55591697,3.0732958e-10,0.55592006,3.291302e-10,0.5559145,0.020809302,6.497957e-11,8.685168e-11,0.020808894,0.020809272,9.321864e-11,0.020808928,0.19471465
450.0,0.54905283,1.0383604e-11,1.8570307e-11,0.5490587,2.899726e-11,0.5490553,8.314803e-12,0.5490562,0.010950004,3.9920333e-12,7.0906696e-12,0.010949456,0.010950016,6.5117924e-12,0.010949444,0.17860466
460.0,0.53926164,3.025802e-11,4.841848e-11,0.539256,1.8555157e-11,0.5392579,5.9105616e-11,0.53925973,0.00322227,4.819217e-11,2.2483954e-11,0.0032225936,0.003222726,4.1358313e-11,0.0032221384,0.15539514
470.0,0.51661545,9.7110535e-11,1.3721076e-10,0.51662695,3.293556e-11,0.5166206,1.6687551e-10,0.51662177,0.0005660558,3.619497e-11,2.0481336e-10,0.0005662976,0.00056605734,1.3283878e-10,0.00056629634,0.12429659
480.0,0.4756733,1.8861887e-10,4.8691606e-11,0.47567114,1.1732877e-10,0.4756768,1.0533121e-10,0.4756675,0.00731542,4.432e-11,1.4306321e-13,0.00731588,0.007315161,2.4069193e-11,0.0073161377,0.093212165
490.0,0.45957536,1.8454717e-10,3.231355e-10,0.45956758,3.338669e-10,0.45957187,1.6731062e-10,0.45957097,0.022510508,1.8832422e-10,4.4916684e-10,0.022511603,0.022509761,2.757665e-10,0.02251235,0.095957816
500.0,0.53634167,2.441353e-10,3.208205e-10,0.53635895,1.2093658e-10,0.5363505,4.7239407e-10,0.53635013,0.029317852,2.875022e-10,2.2611582e-10,0.029317228,0.029318586,3.9222017e-10,0.0293165,0.14858747
510.0,0.6492521,5.403429e-10,2.3072881e-10,0.64924866,3.735733e-10,0.6492465,3.610088e-10,0.6492542,0.022844445,4.6121777e-11,4.2884815e-12,0.022844184,0.022843234,2.8608714e-11,0.022845395,0.1978383
520.0,0.7351454,1.4113496e-10,2.7633154e-11,0.73513085,4.482659e-11,0.73513967,1.2012982e-10,0.7351366,0.01403594,2.2501256e-10,1.8647599e-12,0.01403882,0.014036583,1.2703774e-10,0.014038179,0.22116736
530.0,0.7933622,7.340742e-11,4.4902237e-10,0.79337966,8.439755e-11,0.79335827,3.841011e-10,0.79338354,0.007568061,7.4291934e-11,6.9868933e-10,0.0075645833,0.0075657964,5.6643973e-10,0.007566848,0.22898762
540.0,0.8351215,7.473282e-10,6.8694506e-10,0.83512306,7.282369e-10,0.8351236,7.063466e-10,0.835121,0.0035519751,4.6989324e-10,4.5279616e-10,0.0035514787,0.0035519237,3.8288878e-10,0.0035515307,0.23009951
550.0,0.86783355,1.4203906e-10,9.451022e-10,0.86786664,7.8975093e-10,0.8678346,3.1119132e-10,0.8678655,0.0013481538,2.0503262e-10,1.1787233e-09,0.0013458118,0.0013470663,3.3248065e-10,0.0013468992,0.22851613
560.0,0.8957783,8.9847365e-09,4.826591e-09,0.8957548,6.543263e-09,0.89578724,7.151697e-09,0.89574593,0.00044147403,9.435036e-09,4.6098765e-09,0.00044244196,0.00044179987,7.2020265e-09,0.00044211626,0.22592846
570.0,0.92252016,1.8162533e-08,5.4237996e-09,0.922407,6.815017e-09,0.9224066,1.6956871e-08,0.92252064,0.0005367518,2.1498987e-08,6.4134236e-09,0.00053250906,0.00053446175,2.031322e-08,0.0005347989,0.22286977
580.0,0.9548245,1.4536462e-09,1.0461828e-09,0.95481926,1.1365833e-09,0.9548279,1.3551473e-09,0.95481575,0.00177058,1.0612641e-09,7.4851764e-10,0.0017707105,0.0017703492,1.0161206e-09,0.0017709408,0.21985206
590.0,0.985039,7.0550876e-10,9.566902e-10,0.9850501,9.865972e-10,0.98504055,6.8905e-10,0.9850487,0.0045903753,2.9194092e-10,4.5953955e-10,0.0045905826,0.0045909276,2.6969982e-10,0.0045900303,0.21771835
600.0,0.9860288,3.0518296e-10,4.3813318e-11,0.9860242,1.9931581e-10,0.9860157,1.5487238e-10,0.9860372,0.005817367,3.0208255e-10,3.2769266e-11,0.005815825,0.005817155,1.42818e-10,0.0058160387,0.21564357
610.0,0.9864848,1.6195205e-11,8.14531e-12,0.9864864,7.116506e-12,0.9864788,1.44454336e-11,0.9864924,0.006861611,6.527034e-12,1.596258e-11,0.006861065,0.0068617566,1.0687181e-11,0.0068609184,0.21367258
620.0,0.9866588,4.4299261e-10,6.769409e-10,0.9866576,5.6187754e-10,0.98666304,5.4963845e-10,0.9866533,0.0077867717,2.957409e-10,4.83158e-10,0.007786965,0.0077864956,3.650711e-10,0.0077872425,0.21177857
